id,name,description,parent_id,created_at,created_by,last_modified_by,last_modified_on
278,Khác,N/A,23,2025-06-21 12:00:00,1,1,2025-06-21 12:00:00
279,Đồ gia dụng nhà bếp,N/A,24,2025-06-22 12:00:00,1,1,2025-06-22 12:00:00
280,Đồ gia dụng lớn,N/A,24,2025-06-23 12:00:00,1,1,2025-06-23 12:00:00
281,Máy hút bụi & Thiết bị làm sạch,N/A,24,2025-06-24 12:00:00,1,1,2025-06-24 12:00:00
282,Quạt & Máy nóng lạnh,N/A,24,2025-06-25 12:00:00,1,1,2025-06-25 12:00:00
283,Thiết bị chăm sóc quần áo,N/A,24,2025-06-26 12:00:00,1,1,2025-06-26 12:00:00
284,Khác,N/A,24,2025-06-27 12:00:00,1,1,2025-06-27 12:00:00
285,"Máy xay, ép, máy đánh trứng trộn bột, máy ,xay thực phẩm",N/A,24,2025-06-28 12:00:00,1,1,2025-06-28 12:00:00
286,Bếp điện,N/A,24,2025-06-29 12:00:00,1,1,2025-06-29 12:00:00
287,Sách Tiếng Việt,N/A,25,2025-06-30 12:00:00,1,1,2025-06-30 12:00:00
288,Sách ngoại văn,N/A,25,2025-07-01 12:00:00,1,1,2025-07-01 12:00:00
289,Gói Quà,N/A,25,2025-07-02 12:00:00,1,1,2025-07-02 12:00:00
290,Bút viết,N/A,25,2025-07-03 12:00:00,1,1,2025-07-03 12:00:00
291,Dụng cụ học sinh & văn phòng,N/A,25,2025-07-04 12:00:00,1,1,2025-07-04 12:00:00
292,"Màu, Họa Cụ và Đồ Thủ Công",N/A,25,2025-07-05 12:00:00,1,1,2025-07-05 12:00:00
293,Sổ và Giấy Các Loại,N/A,25,2025-07-06 12:00:00,1,1,2025-07-06 12:00:00
294,Quà Lưu Niệm,N/A,25,2025-07-07 12:00:00,1,1,2025-07-07 12:00:00
295,Nhạc cụ và phụ kiện âm nhạc,N/A,25,2025-07-08 12:00:00,1,1,2025-07-08 12:00:00
296,Thức ăn cho thú cưng,N/A,26,2025-07-09 12:00:00,1,1,2025-07-09 12:00:00
297,Phụ kiện cho thú cưng,N/A,26,2025-07-10 12:00:00,1,1,2025-07-10 12:00:00
298,Vệ sinh cho thú cưng,N/A,26,2025-06-15 12:00:00,1,1,2025-06-15 12:00:00
299,Quần áo thú cưng,N/A,26,2025-06-15 12:00:00,1,1,2025-06-15 12:00:00
300,Chăm sóc sức khỏe,N/A,26,2025-06-16 12:00:00,1,1,2025-06-16 12:00:00
301,Làm đẹp cho thú cưng,N/A,26,2025-06-17 12:00:00,1,1,2025-06-17 12:00:00
302,Khác,N/A,26,2025-06-18 12:00:00,1,1,2025-06-18 12:00:00
303,Nhà hàng & Ăn uống,N/A,27,2025-06-19 12:00:00,1,1,2025-06-19 12:00:00
304,Sự kiện & Giải trí,N/A,27,2025-06-20 12:00:00,1,1,2025-06-20 12:00:00
305,Nạp tiền tài khoản,N/A,27,2025-06-21 12:00:00,1,1,2025-06-21 12:00:00
306,Sức khỏe & Làm đẹp,N/A,27,2025-06-22 12:00:00,1,1,2025-06-22 12:00:00
307,"Gọi xe ",N/A,27,2025-06-23 12:00:00,1,1,2025-06-23 12:00:00
308,Khóa học,N/A,27,2025-06-24 12:00:00,1,1,2025-06-24 12:00:00
309,Du lịch & Khách sạn,N/A,27,2025-06-25 12:00:00,1,1,2025-06-25 12:00:00
310,Mua sắm,N/A,27,2025-06-26 12:00:00,1,1,2025-06-26 12:00:00
311,Mã quà tặng Shoppe,N/A,27,2025-06-27 12:00:00,1,1,2025-06-27 12:00:00
312,Thanh toán hóa đơn,N/A,27,2025-06-28 12:00:00,1,1,2025-06-28 12:00:00
313,Dịch vụ khác,N/A,27,2025-06-29 12:00:00,1,1,2025-06-29 12:00:00
